"","experience","wage_h","logwage_h","school","school_father","school_mother","married","male","d_north","d_centre","d_south","d_partime","d_agri","d_indu","d_pa"
"39051",3,5.034375,1.616289,8,8,5,1,1,1,0,0,0,0,1,0
"39061",34,7.83125,2.058122,8,5,5,1,1,1,0,0,0,0,1,0
"3908",7,9.589286,2.260646,8,5,5,1,1,1,0,0,0,0,1,0
"39091",12,7.924479,2.069957,8,0,0,1,1,0,0,1,0,0,1,0
"3910",14,14.91667,2.702479,8,5,5,1,1,0,0,1,0,0,0,0
"39111",15,6.992188,1.944793,13,5,5,0,1,0,0,1,0,0,0,0
"39131",5,6.7125,1.903971,8,5,5,1,1,0,0,1,0,0,0,0
"3914",3,6.836805,1.922321,13,5,5,0,0,0,0,1,0,0,0,1
"39151",21,10.49139,2.350555,13,5,0,1,0,0,0,1,0,0,0,1
"39161",1,7.458333,2.009332,13,8,5,0,1,0,0,1,0,0,0,1
"39171",16,7.271875,1.984014,11,8,5,0,1,0,0,1,0,0,1,0
"3919",15,8.832237,2.178408,13,5,8,0,1,0,0,1,0,0,0,0
"39211",4,12.43056,2.520158,18,8,8,1,1,1,0,0,0,0,1,0
"3922",3,7.458333,2.009332,18,8,8,1,0,1,0,0,0,0,1,0
"39251",15,6.544687,1.878654,8,0,5,1,0,1,0,0,0,0,1,0
"39261",23,6.981,1.943192,5,0,5,1,0,1,0,0,1,0,1,0
"39271",16,17.22875,2.84658,13,8,8,0,0,1,0,0,0,0,0,0
"39281",10,7.439688,2.006829,8,8,5,1,1,1,0,0,0,0,1,0
"39291",4,6.7125,1.903971,8,8,8,1,0,1,0,0,0,0,1,0
"3930",12,9.817031,2.284119,13,8,8,0,0,1,0,0,0,0,0,1
"39311",20,12.43056,2.520158,13,5,5,0,1,1,0,0,0,0,1,0
"3932",26,13.31312,2.58875,8,5,5,1,1,1,0,0,0,0,0,0
"39331",16,9.3975,2.240444,13,13,13,1,0,1,0,0,0,0,1,0
"39341",36,15.036,2.710447,13,5,5,1,1,1,0,0,0,0,1,0
"39351",12,8.390625,2.127115,11,5,5,1,0,1,0,0,0,0,0,1
"39361",20,6.7125,1.903971,11,5,5,1,0,1,0,0,0,0,1,0
"39391",22,6.7125,1.903971,5,0,5,1,0,1,0,0,0,0,0,0
"39401",20,14.54375,2.677161,13,5,5,0,1,1,0,0,0,0,1,0
"3941",24,8.353333,2.122661,13,8,8,1,1,1,0,0,0,0,0,1
"39421",9,7.999063,2.079324,13,5,5,1,0,1,0,0,0,0,1,0
"3943",30,21.9275,3.087742,13,5,5,1,1,1,0,0,0,0,0,0
"39441",17,7.56275,2.023235,13,8,8,1,1,1,0,0,0,0,0,0
"3945",3,9.528664,2.254304,11,8,8,1,0,1,0,0,1,0,0,0
"39501",25,7.83125,2.058122,8,5,5,0,0,1,0,0,0,0,1,0
"39521",9,8.95,2.191653,13,8,8,1,0,1,0,0,0,0,0,1
"39531",35,8.95,2.191653,11,5,5,1,0,1,0,0,0,0,0,1
"39581",6,2.610417,0.9595098,13,5,13,0,0,0,0,1,1,0,0,0
"39611",13,10.06875,2.309437,13,5,5,1,0,1,0,0,1,0,0,0
"3962",12,10.62813,2.363504,13,8,8,1,1,1,0,0,0,0,1,0
"3963",4,7.271875,1.984014,5,0,0,1,1,1,0,0,0,0,1,0
"3965",15,16.11,2.77944,8,5,5,1,0,1,0,0,0,0,1,0
"39661",35,7.924479,2.069957,8,5,0,1,1,1,0,0,0,0,1,0
"39671",20,13.67361,2.615468,16,5,5,1,0,1,0,0,1,0,0,1
